# time C ID fromHost toHost size ttl
4474.5000 C floating209-4474-8  c8 V0 42137 2147483647
4476.8000 C floating210-4477-41  w41 V0 12995 2147483647
4492.2000 C floating211-4492-67  w67 V0 24187 2147483647
4504.5000 C floating212-4504-42  w42 V0 15496 2147483647
4520.8000 C floating213-4521-10  c10 V0 41973 2147483647
4530.9000 C floating214-4531-78  w78 V0 19987 2147483647
4536.3000 C floating215-4536-36  c36 V0 4336 2147483647
4538.5000 C floating216-4538-69  w69 V0 27937 2147483647
4553.9000 C floating217-4554-95  p95 V0 43599 2147483647
4583.9000 C floating218-4584-116  p116 V0 49684 2147483647
4612.8000 C floating219-4613-23  c23 V0 46492 2147483647
4650.1000 C floating220-4650-12  c12 V0 21794 2147483647
4652.8000 C floating221-4653-17  c17 V0 37714 2147483647
4665.3000 C floating222-4665-68  w68 V0 45049 2147483647
4667.8000 C floating223-4668-71  w71 V0 42782 2147483647
4699.1000 C floating224-4699-19  c19 V0 33575 2147483647
4742.2000 C floating225-4742-108  p108 V0 33788 2147483647
4751.7000 C floating226-4752-64  w64 V0 11733 2147483647
4773.1000 C floating227-4773-47  w47 V0 8983 2147483647
4774.8000 C floating228-4775-81  t81 V0 48694 2147483647
4825.7000 C floating229-4826-92  p92 V0 1251 2147483647
4840.1000 C floating230-4840-121  p121 V0 49890 2147483647
4859.4000 C floating231-4859-43  w43 V0 9241 2147483647
4888.6000 C floating232-4889-57  w57 V0 26285 2147483647
4912.0000 C floating233-4912-88  p88 V0 48639 2147483647
4922.1000 C floating234-4922-35  c35 V0 31959 2147483647
4971.8000 C floating235-4972-106  p106 V0 45255 2147483647
4988.7000 C floating236-4989-45  w45 V0 29128 2147483647
4993.9000 C floating237-4994-33  c33 V0 2377 2147483647
5038.1000 C floating238-5038-2  c2 V0 2194 2147483647
5041.3000 C floating239-5041-90  p90 V0 2780 2147483647
5055.6000 C floating240-5056-61  w61 V0 48518 2147483647
5127.1000 C floating241-5127-80  w80 V0 41024 2147483647
5167.4000 C floating242-5167-4  c4 V0 48320 2147483647
5185.0000 C floating243-5185-63  w63 V0 48038 2147483647
5349.1000 C floating244-5349-3  c3 V0 46659 2147483647
5351.5000 C floating245-5352-84  t84 V0 9237 2147483647
5357.2000 C floating246-5357-113  p113 V0 19432 2147483647
5363.4000 C floating247-5363-38  c38 V0 35148 2147483647
5371.8000 C floating248-5372-49  w49 V0 17229 2147483647
5382.9000 C floating249-5383-32  c32 V0 13670 2147483647
5392.4000 C floating250-5392-48  w48 V0 12088 2147483647
5403.4000 C floating251-5403-112  p112 V0 26005 2147483647
5404.2000 C floating252-5404-15  c15 V0 32772 2147483647
5410.4000 C floating253-5410-34  c34 V0 38536 2147483647
5470.6000 C floating254-5471-96  p96 V0 7390 2147483647
5484.8000 C floating255-5485-104  p104 V0 1191 2147483647
5489.3000 C floating256-5489-65  w65 V0 28910 2147483647
5490.5000 C floating257-5491-11  c11 V0 29629 2147483647
5494.6000 C floating258-5495-120  p120 V0 35036 2147483647
5524.6000 C floating259-5525-91  p91 V0 7777 2147483647
5537.5000 C floating260-5538-126  p126 V0 26795 2147483647
5543.1000 C floating261-5543-56  w56 V0 21149 2147483647
5600.0000 C floating262-5600-98  p98 V0 37269 2147483647
5610.9000 C floating263-5611-0  V0 V0 8532 2147483647
5648.6000 C floating264-5649-110  p110 V0 46483 2147483647
5654.2000 C floating265-5654-76  w76 V0 21172 2147483647
5693.0000 C floating266-5693-54  w54 V0 11803 2147483647
5705.3000 C floating267-5705-74  w74 V0 10919 2147483647
5734.4000 C floating268-5734-109  p109 V0 11314 2147483647
5790.3000 C floating269-5790-6  c6 V0 12100 2147483647
5800.9000 C floating270-5801-123  p123 V0 48041 2147483647
5816.1000 C floating271-5816-31  c31 V0 44357 2147483647
5828.0000 C floating272-5828-27  c27 V0 47250 2147483647
5863.3000 C floating273-5863-53  w53 V0 7635 2147483647
5893.1000 C floating274-5893-73  w73 V0 48788 2147483647
5910.8000 C floating275-5911-60  w60 V0 25597 2147483647
5911.1000 C floating276-5911-59  w59 V0 24776 2147483647
5911.6000 C floating277-5912-72  w72 V0 25618 2147483647
5987.0000 C floating278-5987-125  p125 V0 34114 2147483647
6019.8000 C floating279-6020-13  c13 V0 16107 2147483647
6033.7000 C floating280-6034-82  t82 V0 6555 2147483647
6055.1000 C floating281-6055-39  c39 V0 39042 2147483647
6074.1000 C floating282-6074-122  p122 V0 18479 2147483647
6119.6000 C floating283-6120-75  w75 V0 16468 2147483647
6128.6000 C floating284-6129-21  c21 V0 23669 2147483647
